"","Site","Time","Season","success","failure"
"1","10A",0,"F",0,100
"2","10A",0,"S",0,159
"3","10A",1,"F",0,100
"4","10A",1,"S",0,159
"5","10A",2,"F",0,100
"6","10A",2,"S",0,159
"7","10A",3,"F",0,100
"8","10A",3,"S",0,159
"9","10A",4,"F",0,100
"10","10A",4,"S",0,159
"11","10A",5,"F",0,100
"12","10A",5,"S",0,159
"13","10A",6,"F",0,100
"14","10A",6,"S",2,157
"15","10A",7,"F",0,100
"16","10A",7,"S",1,158
"17","10A",8,"F",0,100
"18","10A",8,"S",2,157
"19","10A",9,"F",0,100
"20","10A",9,"S",1,158
"21","10A",10,"F",0,100
"22","10A",10,"S",0,159
"23","10A",11,"F",0,100
"24","10A",11,"S",0,159
"25","10A",12,"F",1,99
"26","10A",12,"S",0,159
"27","10A",13,"F",0,100
"28","10A",13,"S",1,158
"29","10A",14,"F",0,100
"30","10A",14,"S",0,159
"31","10A",15,"F",0,100
"32","10A",15,"S",0,159
"33","10A",16,"F",0,100
"34","10A",16,"S",0,159
"35","10A",17,"F",0,100
"36","10A",17,"S",0,159
"37","10A",18,"F",0,100
"38","10A",18,"S",3,156
"39","10A",19,"F",0,100
"40","10A",19,"S",1,158
"41","10A",20,"F",0,100
"42","10A",20,"S",1,158
"43","10A",21,"F",0,100
"44","10A",21,"S",0,159
"45","10A",22,"F",0,100
"46","10A",22,"S",0,159
"47","10A",23,"F",0,100
"48","10A",23,"S",0,159
"49","10B",0,"F",0,104
"50","10B",0,"S",0,164
"51","10B",1,"F",0,104
"52","10B",1,"S",0,164
"53","10B",2,"F",0,104
"54","10B",2,"S",0,164
"55","10B",3,"F",0,104
"56","10B",3,"S",0,164
"57","10B",4,"F",0,104
"58","10B",4,"S",0,164
"59","10B",5,"F",0,104
"60","10B",5,"S",2,162
"61","10B",6,"F",0,104
"62","10B",6,"S",0,164
"63","10B",7,"F",0,104
"64","10B",7,"S",1,163
"65","10B",8,"F",0,104
"66","10B",8,"S",2,162
"67","10B",9,"F",0,104
"68","10B",9,"S",0,164
"69","10B",10,"F",0,104
"70","10B",10,"S",0,164
"71","10B",11,"F",0,104
"72","10B",11,"S",0,164
"73","10B",12,"F",0,104
"74","10B",12,"S",1,163
"75","10B",13,"F",1,103
"76","10B",13,"S",0,164
"77","10B",14,"F",0,104
"78","10B",14,"S",1,163
"79","10B",15,"F",0,104
"80","10B",15,"S",0,164
"81","10B",16,"F",0,104
"82","10B",16,"S",2,162
"83","10B",17,"F",0,104
"84","10B",17,"S",0,164
"85","10B",18,"F",0,104
"86","10B",18,"S",1,163
"87","10B",19,"F",1,103
"88","10B",19,"S",2,162
"89","10B",20,"F",0,104
"90","10B",20,"S",1,163
"91","10B",21,"F",0,104
"92","10B",21,"S",0,164
"93","10B",22,"F",1,103
"94","10B",22,"S",0,164
"95","10B",23,"F",1,103
"96","10B",23,"S",0,164
"97","10C",0,"F",0,89
"98","10C",0,"S",0,134
"99","10C",1,"F",2,87
"100","10C",1,"S",1,133
"101","10C",2,"F",1,88
"102","10C",2,"S",0,134
"103","10C",3,"F",0,89
"104","10C",3,"S",0,134
"105","10C",4,"F",0,89
"106","10C",4,"S",0,134
"107","10C",5,"F",0,89
"108","10C",5,"S",2,132
"109","10C",6,"F",0,89
"110","10C",6,"S",1,133
"111","10C",7,"F",0,89
"112","10C",7,"S",2,132
"113","10C",8,"F",0,89
"114","10C",8,"S",0,134
"115","10C",9,"F",0,89
"116","10C",9,"S",0,134
"117","10C",10,"F",0,89
"118","10C",10,"S",4,130
"119","10C",11,"F",0,89
"120","10C",11,"S",1,133
"121","10C",12,"F",0,89
"122","10C",12,"S",1,133
"123","10C",13,"F",0,89
"124","10C",13,"S",0,134
"125","10C",14,"F",0,89
"126","10C",14,"S",1,133
"127","10C",15,"F",0,89
"128","10C",15,"S",0,134
"129","10C",16,"F",0,89
"130","10C",16,"S",2,132
"131","10C",17,"F",1,88
"132","10C",17,"S",2,132
"133","10C",18,"F",0,89
"134","10C",18,"S",2,132
"135","10C",19,"F",2,87
"136","10C",19,"S",3,131
"137","10C",20,"F",2,87
"138","10C",20,"S",1,133
"139","10C",21,"F",0,89
"140","10C",21,"S",1,133
"141","10C",22,"F",0,89
"142","10C",22,"S",2,132
"143","10C",23,"F",0,89
"144","10C",23,"S",0,134
"145","10D",0,"F",0,89
"146","10D",0,"S",0,162
"147","10D",1,"F",0,89
